NAICs;METRO;STATE;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
10;Anniston-Oxford, AL;AL;46488;47399;50350;51058;49512;49075;48579;46990;46132;45818;47515
11;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
423430;Anniston-Oxford, AL;AL;*;*;*;*;*;*;*;*;*;0;*
425110;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
443120;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
454111;Anniston-Oxford, AL;AL;0;*;0;*;*;*;*;*;*;*;*
51;Anniston-Oxford, AL;AL;760;814;870;918;912;825;1071;1038;538;562;625
518;Anniston-Oxford, AL;AL;*;*;0;0;0;*;*;*;*;*;*
519130;Anniston-Oxford, AL;AL;0;*;*;*;*;*;*;*;*;*;*
52;Anniston-Oxford, AL;AL;903;939;949;930;982;987;959;919;942;1027;1066
54151;Anniston-Oxford, AL;AL;264;310;392;79;56;49;62;69;71;67;56
811212;Anniston-Oxford, AL;AL;0;0;0;0;0;0;*;0;0;0;*
811213;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
10;Auburn-Opelika, AL;AL;47099;47140;49333;49654;48694;46896;45112;42437;41668;40571;41613
11;Auburn-Opelika, AL;AL;233;258;302;299;319;314;0;289;275;293;*
334611;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;0;0;0;*
425110;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;*;*;0;*
443120;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
454111;Auburn-Opelika, AL;AL;0;6;0;0;0;*;*;0;0;0;*
51;Auburn-Opelika, AL;AL;509;472;568;836;541;489;485;484;500;467;510
511210;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
518;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
519130;Auburn-Opelika, AL;AL;0;0;0;0;*;*;*;*;*;*;*
52;Auburn-Opelika, AL;AL;976;1001;1047;994;913;856;814;834;857;878;886
54151;Auburn-Opelika, AL;AL;95;90;78;74;67;73;57;14;15;27;*
811212;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;*;*
811213;Auburn-Opelika, AL;AL;*;*;*;*;*;0;0;0;0;0;*
10;Birmingham-Hoover, AL;AL;455923;463697;493183;498978;493805;486262;478504;473615;475590;479590;482563
11;Birmingham-Hoover, AL;AL;909;986;1096;1172;1011;1040;1013;1046;1065;0;1152
323115;Birmingham-Hoover, AL;AL;281;0;0;0;0;0;0;0;0;0;*
33411;Birmingham-Hoover, AL;AL;*;*;*;*;*;0;0;0;0;0;*
334611;Birmingham-Hoover, AL;AL;*;0;0;*;*;0;0;0;0;0;*
423430;Birmingham-Hoover, AL;AL;0;0;0;0;0;0;0;0;0;776;*
425110;Birmingham-Hoover, AL;AL;0;0;0;0;0;0;56;0;0;0;*
443120;Birmingham-Hoover, AL;AL;216;0;352;425;523;637;834;900;904;0;*
454111;Birmingham-Hoover, AL;AL;0;0;0;0;57;45;0;19;11;0;*
51;Birmingham-Hoover, AL;AL;9343;9944;0;11280;0;0;13272;13566;15383;15267;*
511210;Birmingham-Hoover, AL;AL;321;0;0;0;347;0;0;341;339;345;*
518;Birmingham-Hoover, AL;AL;0;0;0;0;555;675;723;815;1727;0;1538
519130;Birmingham-Hoover, AL;AL;87;91;0;58;*;*;*;*;*;*;*
52;Birmingham-Hoover, AL;AL;28941;29614;30395;30262;31141;31577;31683;31770;30238;30035;29472
522320;Birmingham-Hoover, AL;AL;0;0;0;0;89;82;0;0;0;0;*
54151;Birmingham-Hoover, AL;AL;4343;4339;0;4362;4069;4130;4043;4147;4435;0;4453
611420;Birmingham-Hoover, AL;AL;109;0;0;0;0;0;0;0;0;0;*
811212;Birmingham-Hoover, AL;AL;62;69;73;223;246;258;111;118;141;0;119
811213;Birmingham-Hoover, AL;AL;0;0;0;0;0;262;175;0;286;0;*
