NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
10,AL,276932,274064,268998,260120,248104,236358,227912,221254,212946,203536,195505
11,AL,33259,31521,31646,30172,28839,27902,27022,26194,24967,24518,23975
323115,AL,44752,47102,50120,46188,45914,42757,0,0,0,0,*
33411,AL,59722,67005,61477,58631,67547,59981,59909,53534,52195,49866,49169
334611,AL,0,0,92516,0,0,0,0,0,0,60521,*
423430,AL,109083,103848,98832,97794,90973,89079,89935,86214,83155,77110,75350
425110,AL,79070,74088,80321,76962,67974,63359,60734,55241,50950,53108,49548
443120,AL,41079,41209,37301,38570,43100,40024,38998,38437,38387,39384,39483
454111,AL,0,0,0,27681,23173,0,0,0,15639,0,*
51,AL,163925,162710,155906,148245,143592,131336,130370,126617,122081,114274,110184
511210,AL,66218,58057,61062,61254,61189,56863,58280,58759,55628,56385,62411
518,AL,50592,48224,49350,47270,44736,46445,44745,44233,38984,43896,42787
519130,AL,51210,43608,48027,48030,*,*,*,*,*,*,*
52,AL,127551,125386,125179,121624,119145,115948,109408,105790,99041,93956,89535
522320,AL,36191,35755,31708,30397,29108,31562,26566,27478,26799,27280,25085
54151,AL,128945,127003,122574,123655,116929,115382,115160,108122,143871,93663,87742
611420,AL,0,0,0,0,0,34273,36483,35418,33731,36341,34468
811212,AL,43111,42264,45935,62970,59955,58516,49192,45107,43205,42470,43157
811213,AL,66813,60996,63493,57108,52498,45426,40501,47610,51696,39829,31271
10,AK,310400,300506,292556,284379,272264,264863,256216,247217,241619,234515,232701
11,AK,42632,39458,40912,39240,38076,40166,39866,40310,41351,0,43952
323115,AK,25678,22542,21305,21018,0,0,0,0,0,0,*
33411,AK,0,0,0,*,*,*,*,0,*,*,*
423430,AK,97887,73529,71140,66062,80394,66459,77512,61260,57059,36572,37636
425110,AK,63020,59351,44918,48235,39625,46685,46227,47202,0,50636,47723
443120,AK,44245,43866,47692,39795,39012,38430,36789,32402,30723,33381,33592
454111,AK,19053,18268,0,0,29628,21994,0,0,0,0,*
51,AK,98316,99336,98913,98733,105962,111868,104760,93021,89813,68970,43807
511210,AK,0,0,0,0,0,0,44258,44967,50736,0,*
518,AK,49942,53098,47178,40862,38717,38195,39165,36946,34691,35368,36206
519130,AK,31130,43192,31089,0,*,*,*,*,*,*,*
52,AK,139175,126855,124521,119151,117196,115930,107219,106627,102408,98005,95988
522320,AK,0,0,0,27883,0,0,19370,0,0,0,*
54151,AK,129187,124634,126138,123943,121966,116307,104054,95585,97678,96128,88795
611420,AK,0,0,0,0,0,0,0,0,18651,21794,*
811212,AK,43487,46328,44761,42807,40337,41685,43592,41222,38050,36242,36225
811213,AK,0,45699,0,0,0,0,0,34574,34906,34084,*
10,AZ,280957,283264,281159,274522,263886,250968,240317,229353,221628,214736,205964
11,AZ,25822,24860,55305,53006,21374,20932,46657,45533,44198,43769,15922
323115,AZ,38508,35892,38842,38270,38227,40430,41737,38718,38781,36008,31745
33411,AZ,87634,82357,81767,72811,91556,87881,82301,79615,78652,74388,68834
334611,AZ,47621,55679,51264,54723,60078,0,55045,58487,65708,64977,63584
423430,AZ,94205,93236,98379,98111,94022,87554,86950,86840,84988,88904,84451
425110,AZ,66441,56661,57992,55636,56916,53021,50275,53986,52539,54372,55290
443120,AZ,61452,57243,57146,55076,52967,48253,46603,43816,40430,42344,40897
454111,AZ,50429,51783,53717,51475,48494,43752,43450,37569,41483,36888,39805
51,AZ,122173,89455,86172,84009,80783,76152,73193,70331,69023,68035,70101
511210,AZ,88665,82158,79616,75271,72183,67313,64191,64495,62579,62562,56635
518,AZ,66468,64011,61274,59377,55464,48679,45017,45529,43852,43650,46561
519130,AZ,73484,67138,64001,57119,*,*,*,*,*,*,*
52,AZ,139767,135034,135731,132019,131106,128334,117406,110691,103631,97864,93090
522320,AZ,39335,39740,38791,40439,39566,38095,36898,36046,32920,32388,28850
54151,AZ,193390,200906,195959,182657,178108,183634,128357,63721,64423,63836,61828
611420,AZ,58695,60703,58456,70143,63964,64902,76905,56671,57109,57188,53915
811212,AZ,54014,47089,45047,43026,43830,43633,41625,40425,38007,38675,42489
811213,AZ,116833,85382,82773,67764,55280,54922,51065,45448,54622,48607,49614
10,AR,241794,243434,237695,230447,223160,214038,206381,195864,189006,182400,174411
11,AR,31627,30069,29945,28755,27852,26560,25722,24939,23925,23411,22242
323115,AR,29400,22484,22934,27880,27453,26610,0,0,0,0,*
33411,AR,0,0,0,0,0,0,0,0,0,0,*
334611,AR,0,0,0,0,0,0,0,0,0,0,*
423430,AR,103494,89755,94132,94344,89169,90193,88875,84362,85221,87902,83387
425110,AR,57470,48798,53374,56004,51133,49919,43815,38195,39908,36871,35559
