NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
10,AL,3995395,4025467,4239281,4264293,4210285,4135780,4046061,3987680,3999383,4044583,4089135
11,AL,11866,11893,12536,13310,13577,13841,14072,13713,14139,14758,15147
323115,AL,345,372,394,382,370,249,0,0,0,0,*
33411,AL,2355,3646,4051,4214,3875,3754,3878,4485,4303,5017,5621
334611,AL,0,0,144,0,0,0,0,0,0,388,*
423430,AL,863,904,1041,1168,1099,1111,1084,1053,1085,1397,1285
425110,AL,178,200,221,234,208,210,223,203,279,315,399
443120,AL,1122,1095,1290,1431,1647,1875,2312,2243,2303,2331,2255
454111,AL,0,0,0,281,191,0,0,0,296,0,*
51,AL,24908,25789,27928,28922,31209,31938,32255,32719,35130,36766,36536
511210,AL,571,414,423,433,485,482,492,477,480,502,528
518,AL,1496,911,1263,1592,1637,1856,1868,2063,2987,2920,2854
519130,AL,327,277,246,172,*,*,*,*,*,*,*
52,AL,67925,70110,71937,71858,71909,72011,71155,70788,68592,68965,68572
522320,AL,563,584,718,728,735,586,576,416,354,322,355
54151,AL,20730,20229,19782,18312,16686,16235,15305,14862,14839,14538,13846
611420,AL,0,0,0,0,0,92,114,121,113,153,181
811212,AL,271,286,338,455,502,558,507,629,637,698,673
811213,AL,1498,1612,1452,1209,1146,1590,1214,914,982,1134,787
10,AK,712617,706489,708149,698121,691368,680550,668027,659765,649792,639579,619567
11,AK,963,799,776,826,949,1059,1046,1137,1097,0,1558
323115,AK,13,14,12,13,0,0,0,0,0,0,*
33411,AK,0,0,0,*,*,*,*,0,*,*,*
423430,AK,21,26,29,26,26,28,33,53,59,46,50
425110,AK,7,7,9,8,11,7,23,26,0,63,72
443120,AK,168,160,168,214,211,217,218,242,285,288,329
454111,AK,3,4,0,0,6,7,0,0,0,0,*
51,AK,6464,6618,6998,6924,6957,6911,6876,6912,7083,7342,7418
511210,AK,0,0,0,0,0,0,55,63,56,0,*
518,AK,63,76,171,162,227,173,198,234,242,234,336
519130,AK,49,33,15,0,*,*,*,*,*,*,*
52,AK,8857,8818,8983,8963,8788,8716,8609,8513,7798,7998,8093
522320,AK,0,0,0,23,0,0,31,0,0,0,*
54151,AK,1305,1237,1068,959,930,951,956,965,930,833,657
611420,AK,0,0,0,0,0,0,0,0,22,25,*
811212,AK,45,46,56,58,63,71,65,70,61,60,60
811213,AK,0,14,0,0,0,0,0,17,15,6,*
10,AZ,5111940,5195243,5574726,5694799,5617298,5360841,5083163,4914181,4843938,4839419,4767216
11,AZ,23537,23798,25775,27809,28211,28980,29402,28944,29591,29305,29249
323115,AZ,295,315,225,132,102,72,53,48,58,78,93
33411,AZ,702,699,788,970,2574,2732,2941,2880,3031,3408,3578
334611,AZ,52,61,355,239,152,0,163,255,331,388,384
423430,AZ,4967,5137,5111,5163,5276,5407,4996,4959,4639,4525,5674
425110,AZ,461,611,752,886,848,742,787,846,886,1071,939
443120,AZ,5379,5142,4964,4574,4164,3497,3275,3238,3229,3565,4279
454111,AZ,3748,3453,3749,3746,3642,3585,3569,3039,3160,3551,4206
51,AZ,38218,39754,43682,44685,46643,47091,49565,51120,53452,55634,55999
511210,AZ,2530,2686,2990,3480,3628,3610,3525,3556,3694,4040,4297
518,AZ,4306,3931,4968,4835,7217,7420,8302,8217,9399,9866,11117
519130,AZ,635,540,647,695,*,*,*,*,*,*,*
52,AZ,117721,120317,124253,131054,130114,124999,118528,114968,110138,108286,105258
522320,AZ,9012,9389,9668,10297,10058,10091,10469,11052,11957,11697,11855
54151,AZ,23494,21721,22330,19580,17264,15431,14123,12294,11823,13344,14079
611420,AZ,429,411,422,490,682,603,541,560,735,934,823
811212,AZ,532,644,734,781,794,851,892,792,1061,878,807
811213,AZ,233,348,342,373,309,400,384,376,344,324,384
10,AR,2473691,2472240,2544984,2545391,2530159,2485460,2445011,2416908,2421819,2435633,2439562
11,AR,12737,12609,13052,13252,13629,14154,14698,14651,14990,15095,15086
323115,AR,13,18,21,14,16,22,0,0,0,0,*
33411,AR,0,0,0,0,0,0,0,0,0,0,*
334611,AR,0,0,0,0,0,0,0,0,0,0,*
423430,AR,619,917,835,803,767,699,656,588,580,567,586
425110,AR,86,100,101,85,85,92,97,160,187,198,203
443120,AR,0,0,0,0,0,0,0,0,722,770,*
454111,AR,259,199,140,210,0,211,237,0,0,0,*
51,AR,17065,17929,20270,21414,21442,21491,21575,21728,21800,22381,21534
511210,AR,243,245,228,279,265,252,244,231,243,261,310
