NAICs;METRO;STATE;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
10;Anniston-Oxford, AL;AL;2515;2535;2602;2623;2580;2590;2574;2560;2587;2560;2599
11;Anniston-Oxford, AL;AL;20;17;17;20;21;21;20;0;0;0;*
423430;Anniston-Oxford, AL;AL;*;*;*;*;*;*;*;*;*;0;*
425110;Anniston-Oxford, AL;AL;1;1;1;1;2;2;2;0;0;0;*
443120;Anniston-Oxford, AL;AL;1;1;2;3;4;6;7;0;0;0;*
454111;Anniston-Oxford, AL;AL;1;*;0;*;*;*;*;*;*;*;*
51;Anniston-Oxford, AL;AL;29;31;37;36;45;44;44;45;46;42;41
518;Anniston-Oxford, AL;AL;*;*;1;1;2;*;*;*;*;*;*
519130;Anniston-Oxford, AL;AL;1;*;*;*;*;*;*;*;*;*;*
52;Anniston-Oxford, AL;AL;165;160;159;164;155;150;149;143;143;146;155
54151;Anniston-Oxford, AL;AL;27;25;23;16;12;12;10;11;10;10;10
811212;Anniston-Oxford, AL;AL;1;1;1;1;1;1;*;0;0;0;*
811213;Anniston-Oxford, AL;AL;1;1;1;1;1;1;1;0;0;0;*
10;Auburn-Opelika, AL;AL;2595;2624;2679;2631;2531;2459;2344;2222;2189;2150;2173
11;Auburn-Opelika, AL;AL;19;19;21;20;17;15;15;16;16;20;*
334611;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;0;0;0;*
425110;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;*;*;0;*
443120;Auburn-Opelika, AL;AL;1;1;3;3;4;5;4;0;0;0;*
454111;Auburn-Opelika, AL;AL;3;3;1;1;1;*;*;0;0;0;*
51;Auburn-Opelika, AL;AL;34;34;36;34;38;33;33;32;30;30;29
511210;Auburn-Opelika, AL;AL;1;1;1;1;1;1;1;0;0;0;*
518;Auburn-Opelika, AL;AL;2;2;2;2;3;2;3;0;0;0;*
519130;Auburn-Opelika, AL;AL;2;2;1;1;*;*;*;*;*;*;*
52;Auburn-Opelika, AL;AL;165;160;157;150;139;134;123;112;112;98;107
54151;Auburn-Opelika, AL;AL;26;20;19;18;13;10;6;4;7;10;*
811212;Auburn-Opelika, AL;AL;2;2;2;1;1;1;1;0;0;*;*
811213;Auburn-Opelika, AL;AL;*;*;*;*;*;1;1;0;0;0;*
10;Birmingham-Hoover, AL;AL;27323;27836;28908;28581;27844;27783;27124;26285;26552;26489;26953
11;Birmingham-Hoover, AL;AL;136;136;141;143;149;150;145;136;144;0;164
323115;Birmingham-Hoover, AL;AL;13;14;13;10;9;7;7;0;0;0;*
33411;Birmingham-Hoover, AL;AL;*;*;*;*;*;1;1;0;0;0;*
334611;Birmingham-Hoover, AL;AL;*;1;1;*;*;0;1;0;0;0;*
423430;Birmingham-Hoover, AL;AL;16;17;17;18;18;21;23;0;0;27;*
425110;Birmingham-Hoover, AL;AL;13;13;15;14;15;13;13;0;0;0;*
443120;Birmingham-Hoover, AL;AL;37;41;56;53;62;78;78;77;75;0;*
454111;Birmingham-Hoover, AL;AL;20;15;13;13;14;12;8;6;4;0;*
51;Birmingham-Hoover, AL;AL;416;421;440;413;459;442;436;412;421;414;*
511210;Birmingham-Hoover, AL;AL;10;11;12;12;13;13;12;11;11;12;*
518;Birmingham-Hoover, AL;AL;47;33;37;37;41;45;43;39;44;0;45
519130;Birmingham-Hoover, AL;AL;14;15;14;11;*;*;*;*;*;*;*
52;Birmingham-Hoover, AL;AL;1978;2028;2067;2039;1897;1867;1799;1697;1688;1664;1737
522320;Birmingham-Hoover, AL;AL;18;19;17;17;14;13;11;0;0;0;*
54151;Birmingham-Hoover, AL;AL;409;404;400;360;321;319;314;302;328;0;353
611420;Birmingham-Hoover, AL;AL;8;12;12;12;9;9;11;0;0;0;*
811212;Birmingham-Hoover, AL;AL;22;22;25;28;28;29;26;28;31;0;26
811213;Birmingham-Hoover, AL;AL;10;8;6;6;7;6;7;0;7;0;*
10;Decatur, AL;AL;3233;3248;3337;3332;3305;3284;3256;3192;3208;3189;3269
11;Decatur, AL;AL;31;30;29;29;31;29;27;0;0;0;34
425110;Decatur, AL;AL;*;*;*;*;*;*;*;0;0;0;*
443120;Decatur, AL;AL;5;5;6;7;7;10;10;0;0;0;*
454111;Decatur, AL;AL;2;3;4;4;2;1;2;0;0;0;*
51;Decatur, AL;AL;28;28;32;33;43;42;39;35;31;31;*
511210;Decatur, AL;AL;*;*;*;1;1;1;1;0;0;0;*
518;Decatur, AL;AL;8;6;5;4;4;3;1;0;0;0;*
519130;Decatur, AL;AL;*;0;1;1;*;*;*;*;*;*;*
52;Decatur, AL;AL;205;203;204;204;207;201;189;177;166;173;*
522320;Decatur, AL;AL;*;*;*;*;1;1;1;0;0;*;*
54151;Decatur, AL;AL;27;28;28;23;21;20;20;0;18;19;17
811212;Decatur, AL;AL;*;1;1;2;2;2;1;0;0;0;*
811213;Decatur, AL;AL;*;*;*;*;*;*;*;0;0;0;*
10;Dothan, AL;AL;3821;3897;4021;4014;3914;3904;3852;3749;3738;3756;3787
11;Dothan, AL;AL;67;66;65;67;70;70;73;0;0;0;*
33411;Dothan, AL;AL;*;*;*;*;1;1;1;*;*;*;*
423430;Dothan, AL;AL;*;*;*;1;1;1;1;0;0;0;*
425110;Dothan, AL;AL;*;*;*;1;1;*;*;*;*;*;*
443120;Dothan, AL;AL;3;4;5;6;7;6;6;0;0;0;*
454111;Dothan, AL;AL;2;2;2;2;2;2;2;0;4;0;*
51;Dothan, AL;AL;36;33;39;41;46;47;45;0;0;0;46
518;Dothan, AL;AL;1;*;*;*;2;3;3;0;0;0;*
519130;Dothan, AL;AL;1;1;2;2;*;*;*;*;*;*;*
52;Dothan, AL;AL;243;244;242;238;234;229;228;218;213;211;226
522320;Dothan, AL;AL;*;1;1;1;2;1;1;0;0;0;*
54151;Dothan, AL;AL;15;16;15;16;14;10;11;13;14;12;9
611420;Dothan, AL;AL;1;1;1;*;*;*;*;*;0;*;*
811212;Dothan, AL;AL;4;4;4;5;6;6;6;0;0;0;*
811213;Dothan, AL;AL;1;1;1;1;1;1;1;0;0;0;*
10;Florence-Muscle Shoals, AL;AL;3354;3378;3453;3396;3379;3399;3345;3293;3359;3387;3450
11;Florence-Muscle Shoals, AL;AL;37;39;38;39;37;40;37;34;0;0;38
423430;Florence-Muscle Shoals, AL;AL;*;*;1;1;1;1;*;*;*;*;*
425110;Florence-Muscle Shoals, AL;AL;*;*;1;1;1;1;1;0;0;0;*
443120;Florence-Muscle Shoals, AL;AL;6;6;7;6;7;7;7;0;0;0;*
454111;Florence-Muscle Shoals, AL;AL;4;4;4;3;2;2;2;*;*;*;*
