OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
00-0000;AL;Northwest Alabama nonmetropolitan area;32490;31450;30730;29380;28420;*;*;*;*;*;*
11-3021;AL;Northwest Alabama nonmetropolitan area;79890;73080;72670;*;*;*;*;*;*;*;*
13-0000;AL;Northwest Alabama nonmetropolitan area;50400;50260;50240;49340;42190;*;*;*;*;*;*
13-1111;AL;Northwest Alabama nonmetropolitan area;56540;62130;60770;74360;*;*;*;*;*;*;*
15-0000;AL;Northwest Alabama nonmetropolitan area;45260;47270;*;46250;39610;*;*;*;*;*;*
15-1021;AL;Northwest Alabama nonmetropolitan area;*;*;*;*;62980;*;*;*;*;*;*
15-1041;AL;Northwest Alabama nonmetropolitan area;*;31050;21650;34880;34270;*;*;*;*;*;*
15-1071;AL;Northwest Alabama nonmetropolitan area;*;52720;53540;50830;47490;*;*;*;*;*;*
15-1142;AL;Northwest Alabama nonmetropolitan area;51530;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Northwest Alabama nonmetropolitan area;32530;*;*;*;*;*;*;*;*;*;*
17-0000;AL;Northwest Alabama nonmetropolitan area;55750;58360;55770;52440;45810;*;*;*;*;*;*
17-2112;AL;Northwest Alabama nonmetropolitan area;67490;63560;62980;58430;54080;*;*;*;*;*;*
17-3026;AL;Northwest Alabama nonmetropolitan area;*;51110;*;52960;33040;*;*;*;*;*;*
19-0000;AL;Northwest Alabama nonmetropolitan area;51580;52660;52780;49260;44700;*;*;*;*;*;*
27-0000;AL;Northwest Alabama nonmetropolitan area;28280;25120;24890;25370;26220;*;*;*;*;*;*
27-1024;AL;Northwest Alabama nonmetropolitan area;*;*;*;30310;*;*;*;*;*;*;*
29-2071;AL;Northwest Alabama nonmetropolitan area;29970;27310;24380;23030;22300;*;*;*;*;*;*
41-4011;AL;Northwest Alabama nonmetropolitan area;*;80480;*;45290;33980;*;*;*;*;*;*
43-9011;AL;Northwest Alabama nonmetropolitan area;24350;25690;25390;22410;20280;*;*;*;*;*;*
43-9021;AL;Northwest Alabama nonmetropolitan area;19840;19690;21500;20460;26140;*;*;*;*;*;*
45-0000;AL;Northwest Alabama nonmetropolitan area;29360;28440;27800;29090;26840;*;*;*;*;*;*
51-4011;AL;Northwest Alabama nonmetropolitan area;29330;28640;*;35410;*;*;*;*;*;*;*
00-0000;AL;Northeast Alabama nonmetropolitan area;32490;31960;30440;29260;28360;*;*;*;*;*;*
11-3021;AL;Northeast Alabama nonmetropolitan area;81890;80210;80610;76420;70520;*;*;*;*;*;*
13-0000;AL;Northeast Alabama nonmetropolitan area;49550;50300;48450;47930;45700;*;*;*;*;*;*
13-1081;AL;Northeast Alabama nonmetropolitan area;56640;*;*;*;*;*;*;*;*;*;*
13-1111;AL;Northeast Alabama nonmetropolitan area;63740;64570;60220;58600;102590;*;*;*;*;*;*
15-0000;AL;Northeast Alabama nonmetropolitan area;52730;55660;49040;47230;46680;*;*;*;*;*;*
15-1021;AL;Northeast Alabama nonmetropolitan area;*;67940;51590;52170;57600;*;*;*;*;*;*
15-1031;AL;Northeast Alabama nonmetropolitan area;*;61130;*;*;*;*;*;*;*;*;*
15-1041;AL;Northeast Alabama nonmetropolitan area;*;35430;34730;33310;30790;*;*;*;*;*;*
15-1051;AL;Northeast Alabama nonmetropolitan area;*;-1;-1;*;*;*;*;*;*;*;*
15-1071;AL;Northeast Alabama nonmetropolitan area;*;63990;53770;54300;50090;*;*;*;*;*;*
15-1121;AL;Northeast Alabama nonmetropolitan area;62530;*;*;*;*;*;*;*;*;*;*
