OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
11-3021,AL,2390,2210,2190,2260,2240,2770,2790,2920,3200,2830,3090
13-0000,AL,62560,61990,62630,62440,61520,57660,56530,52770,52540,50570,51910
13-1081,AL,3350,2870,2390,2120,1870,400,360,*,*,*,*
13-1111,AL,4400,4580,4780,5140,5250,4040,3600,3510,3290,2960,2630
15-0000,AL,35610,34180,34460,33790,33590,31740,30770,28960,29120,25530,26840
15-1011,AL,*,560,330,410,470,*,340,420,520,340,430
15-1021,AL,*,4350,4060,3840,4700,4830,4870,4500,5290,4100,4240
15-1031,AL,*,3480,2940,3800,3440,3580,3470,3010,2830,2630,2920
15-1032,AL,*,4810,4770,4070,3230,2560,2400,2870,2010,1720,1880
15-1041,AL,*,5570,5910,4820,5020,5270,5240,5180,5530,4600,4390
15-1051,AL,*,5630,6620,7190,7090,7910,7190,6630,6180,5440,6060
15-1061,AL,*,1080,1070,910,850,750,750,740,840,700,770
15-1071,AL,*,3780,3650,3750,3670,2870,2790,2240,2120,2360,2180
15-1081,AL,*,1840,1890,2040,1930,1860,1580,980,770,680,750
15-1099,AL,*,2090,2330,2180,2320,1000,1130,*,*,*,*
15-1111,AL,560,*,*,*,*,*,*,*,*,*,*
15-1121,AL,5920,*,*,*,*,*,*,*,*,*,*
15-1131,AL,4790,*,*,*,*,*,*,*,*,*,*
15-1132,AL,3480,*,*,*,*,*,*,*,*,*,*
15-1133,AL,4110,*,*,*,*,*,*,*,*,*,*
15-1141,AL,1090,*,*,*,*,*,*,*,*,*,*
15-1142,AL,4330,*,*,*,*,*,*,*,*,*,*
15-1150,AL,6680,*,*,*,*,*,*,*,*,*,*
15-1179,AL,1570,*,*,*,*,*,*,*,*,*,*
15-1799,AL,1920,*,*,*,*,*,*,*,*,*,*
15-2031,AL,740,610,550,500,620,730,860,730,1070,770,770
17-0000,AL,39620,39830,39810,42220,40360,38930,36910,35830,36220,36090,37410
17-2061,AL,1300,1120,1120,1460,1210,1020,930,1000,800,860,540
17-2112,AL,3190,3120,2700,2440,2190,2210,2140,1670,1880,1880,1920
17-3026,AL,830,960,780,770,600,590,570,460,430,570,570
19-0000,AL,9870,10370,9930,10070,10160,10760,10460,10130,10670,11600,12740
25-1021,AL,460,410,430,430,490,490,460,410,390,420,560
27-0000,AL,18770,19000,18840,17780,17840,17140,16550,15050,13870,13920,14190
27-1014,AL,70,80,90,80,*,120,130,150,190,200,210
27-1024,AL,1740,1880,1860,1760,1690,1690,1410,1270,1180,1390,1500
27-3042,AL,730,620,540,450,540,570,600,450,430,490,550
