OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
11-3021,AL,107250,102230,98130,97700,92310,83710,81070,77760,70850,65360,63840
13-0000,AL,63100,61560,60360,58910,56270,52670,51490,50070,48350,46020,43730
13-1081,AL,80020,78290,75710,73080,71840,61720,62070,*,*,*,*
13-1111,AL,83690,82910,81990,83260,76660,68940,68810,65890,66520,59070,56600
15-0000,AL,70170,68940,66000,65110,61760,60700,60150,60520,57670,52540,50690
15-1011,AL,*,100770,97850,94810,90640,*,90450,85030,76630,65570,58090
15-1021,AL,*,70400,69150,62940,60230,63610,66790,71830,66460,52080,49350
15-1031,AL,*,83580,77800,73940,71360,69610,71690,71120,67600,65390,61830
15-1032,AL,*,85560,84190,81790,79700,79330,76800,72200,68590,66470,61250
15-1041,AL,*,41940,37210,38290,36710,34960,36250,37080,39840,36120,35240
15-1051,AL,*,71560,70120,68350,65040,67220,65240,64140,59690,58120,54790
15-1061,AL,*,61540,62060,59800,58070,54290,54140,52380,51200,48550,47210
15-1071,AL,*,63390,61010,62190,57530,58560,54550,54270,51960,49120,45560
15-1081,AL,*,62390,62860,64210,60340,58210,54350,53120,56020,52910,49530
15-1099,AL,*,78490,76170,71580,70710,54350,50220,*,*,*,*
15-1111,AL,102710,*,*,*,*,*,*,*,*,*,*
15-1121,AL,75560,*,*,*,*,*,*,*,*,*,*
15-1131,AL,72230,*,*,*,*,*,*,*,*,*,*
15-1132,AL,86010,*,*,*,*,*,*,*,*,*,*
15-1133,AL,88000,*,*,*,*,*,*,*,*,*,*
15-1141,AL,64380,*,*,*,*,*,*,*,*,*,*
15-1142,AL,65040,*,*,*,*,*,*,*,*,*,*
15-1150,AL,44170,*,*,*,*,*,*,*,*,*,*
15-1179,AL,64280,*,*,*,*,*,*,*,*,*,*
15-1799,AL,80300,*,*,*,*,*,*,*,*,*,*
15-2031,AL,79990,74970,69360,74690,71180,66710,66510,64450,59740,59810,58280
17-0000,AL,75710,72690,70300,67550,64540,62560,61680,58630,55860,54300,52370
17-2061,AL,95640,93250,89520,76870,76540,80590,79420,81310,77300,73280,70510
17-2112,AL,75750,72820,73990,68700,64940,63440,65130,61920,60320,57950,55540
17-3026,AL,49040,47250,45470,46860,40550,41200,40860,39050,37670,36500,36010
19-0000,AL,56270,56730,56390,53550,51380,50080,49210,48370,45040,44910,44040
25-1021,AL,73730,70880,68190,66270,60120,58270,55620,51900,46780,49160,50430
27-0000,AL,38360,39870,38640,37160,34770,33160,32650,31710,32030,31470,30020
27-1014,AL,47340,42180,45380,44290,*,39710,42750,38310,36660,36680,31680
27-1024,AL,45010,44130,41450,39040,37340,36260,34050,35020,35320,37600,35320
27-3042,AL,53860,52730,51900,51440,50800,46060,45230,45090,41940,41090,39520
29-2071,AL,29210,28800,27550,25720,24540,23610,22840,22080,20730,20650,19820
41-4011,AL,83880,77820,77640,75780,72540,64280,64980,72250,66890,59180,59550
43-9011,AL,32240,31380,31040,30090,29690,28920,29040,29220,32550,27000,25580
43-9021,AL,26230,25940,25010,25280,23720,23100,23780,22290,21350,21160,19770
43-9031,AL,31980,30370,27570,30100,30960,30740,31630,27970,26470,25680,25740
45-0000,AL,30010,28870,28720,28230,27070,25310,24630,24680,23390,22870,22800
49-2011,AL,39620,40660,41250,39650,37580,35270,34910,31500,32140,30260,31710
51-4011,AL,32500,30360,28630,27660,25710,26210,25950,25530,24110,24890,24220
51-4012,AL,40680,36180,34750,35590,35140,-1,39280,37840,33900,33020,30920
11-3021,AK,95340,90050,88330,84460,79470,82080,77340,76180,73000,74380,70310
13-0000,AK,65740,64140,61150,61070,59680,58360,57810,55960,54060,51950,51530
13-1081,AK,72430,72540,68970,68100,66050,61500,58800,*,*,*,*
13-1111,AK,68720,68370,69180,71480,72980,68590,63060,67890,60020,55560,62170
15-0000,AK,68350,66650,65170,64290,61980,59740,59120,57000,55210,51890,50320
15-1021,AK,*,70990,66010,65940,62200,60630,60270,58950,58960,57990,56030
15-1031,AK,*,77240,73730,70120,71740,67060,67730,63720,64230,66270,68150
15-1032,AK,*,73550,72250,78840,-1,76230,73960,69490,69350,*,*
15-1041,AK,*,47070,47440,46310,46970,46390,46760,45420,44420,41370,40000
15-1051,AK,*,75580,72820,74260,72030,73430,72790,70820,67250,63650,57310
15-1061,AK,*,77320,73320,70840,69850,65390,63120,59750,54800,54330,53870
15-1071,AK,*,65990,64890,63790,65440,66270,63250,55120,54160,52630,50330
15-1081,AK,*,66370,67280,61960,58720,55120,55510,57270,57230,53770,53460
15-1099,AK,*,77430,75330,75280,73620,57050,56940,*,*,*,*
15-1121,AK,75830,*,*,*,*,*,*,*,*,*,*
15-1131,AK,75450,*,*,*,*,*,*,*,*,*,*
15-1132,AK,74720,*,*,*,*,*,*,*,*,*,*
15-1133,AK,78980,*,*,*,*,*,*,*,*,*,*
15-1141,AK,78270,*,*,*,*,*,*,*,*,*,*
15-1142,AK,70710,*,*,*,*,*,*,*,*,*,*
15-1150,AK,50320,*,*,*,*,*,*,*,*,*,*
15-1179,AK,68900,*,*,*,*,*,*,*,*,*,*
15-1799,AK,71490,*,*,*,*,*,*,*,*,*,*
15-2031,AK,68670,90660,80940,-1,52260,50770,49530,49850,49230,*,49070
17-0000,AK,94590,91530,83560,72490,69180,67760,66730,67310,64470,65120,61700
17-2112,AK,103330,98790,94090,92360,84210,94040,82460,80220,73280,75740,70790
17-3026,AK,76960,75850,69640,*,*,*,*,*,*,*,*
19-0000,AK,62210,63090,59210,56140,54860,53920,55080,54230,52900,51160,49010
25-1021,AK,103910,116370,115090,*,*,*,*,*,56500,53890,48320
27-0000,AK,43820,43740,45250,43770,42970,39890,38270,35900,34560,32460,33340
27-1014,AK,50990,*,*,*,*,*,26450,24040,25640,29810,31570
27-1024,AK,45080,41250,39850,37770,39020,37080,38300,35040,35340,32530,35170
27-3042,AK,60260,62070,57340,57030,-1,54720,51410,47840,41410,*,51080
29-2071,AK,39300,39490,38280,35710,32850,31280,31470,31470,31190,30950,30440
41-4011,AK,82910,79250,80550,71050,62050,59510,55340,52040,43090,47180,44590
43-9011,AK,43170,42790,42590,40650,39360,35500,38230,40050,41080,40880,38240
43-9021,AK,33220,36960,36150,34590,29280,28300,27730,28540,26570,25540,24030
43-9031,AK,*,*,*,43260,41760,42230,41150,*,35540,*,*
45-0000,AK,*,33960,35560,37650,35200,33520,35800,35800,38430,37500,36280
49-2011,AK,43610,43940,45040,42520,42900,47350,47910,50580,37990,38900,38530
