NAICs;METRO;STATE;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
10;Anniston-Oxford, AL;AL;180257;181028;180142;171571;161446;155151;145901;142339;135301;126881;121034
11;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
423430;Anniston-Oxford, AL;AL;*;*;*;*;*;*;*;*;*;0;*
425110;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
443120;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
454111;Anniston-Oxford, AL;AL;0;*;0;*;*;*;*;*;*;*;*
51;Anniston-Oxford, AL;AL;39809;37364;37402;36559;36080;34498;34459;31763;36067;36830;33004
518;Anniston-Oxford, AL;AL;*;*;0;0;0;*;*;*;*;*;*
519130;Anniston-Oxford, AL;AL;0;*;*;*;*;*;*;*;*;*;*
52;Anniston-Oxford, AL;AL;41927;40842;40873;39794;39968;38667;39031;35571;33493;31470;31314
54151;Anniston-Oxford, AL;AL;49493;50681;44600;49630;53938;54826;57304;54634;52504;50692;36981
811212;Anniston-Oxford, AL;AL;0;0;0;0;0;0;*;0;0;0;*
811213;Anniston-Oxford, AL;AL;0;0;0;0;0;0;0;0;0;0;*
10;Auburn-Opelika, AL;AL;176702;176068;175484;170114;164187;157069;153061;145670;140414;135634;121181
11;Auburn-Opelika, AL;AL;49207;45664;38480;39819;37371;36633;0;36683;36006;31783;*
334611;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;0;0;0;*
425110;Auburn-Opelika, AL;AL;*;*;*;*;*;*;*;*;*;0;*
443120;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
454111;Auburn-Opelika, AL;AL;0;13186;0;0;0;*;*;0;0;0;*
51;Auburn-Opelika, AL;AL;32576;33390;29975;24040;32321;31169;29355;29312;31378;28782;24329
511210;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
518;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;0;*
519130;Auburn-Opelika, AL;AL;0;0;0;0;*;*;*;*;*;*;*
52;Auburn-Opelika, AL;AL;46438;46314;45838;46170;43463;41276;39788;37088;34687;32889;31646
54151;Auburn-Opelika, AL;AL;48651;50784;49718;47474;45536;42919;46052;23352;25891;26088;*
811212;Auburn-Opelika, AL;AL;0;0;0;0;0;0;0;0;0;*;*
811213;Auburn-Opelika, AL;AL;*;*;*;*;*;0;0;0;0;0;*
10;Birmingham-Hoover, AL;AL;192804;197119;193836;186351;178531;171842;166892;161530;156088;149917;143498
11;Birmingham-Hoover, AL;AL;34566;34175;33664;31465;29432;26900;27801;28278;27744;0;27022
323115;Birmingham-Hoover, AL;AL;48159;0;0;0;0;0;0;0;0;0;*
33411;Birmingham-Hoover, AL;AL;*;*;*;*;*;0;0;0;0;0;*
334611;Birmingham-Hoover, AL;AL;*;0;0;*;*;0;0;0;0;0;*
423430;Birmingham-Hoover, AL;AL;0;0;0;0;0;0;0;0;0;69968;*
425110;Birmingham-Hoover, AL;AL;0;0;0;0;0;0;49702;0;0;0;*
443120;Birmingham-Hoover, AL;AL;47198;0;41207;36454;38448;39440;42334;42346;41011;0;*
454111;Birmingham-Hoover, AL;AL;0;0;0;0;26124;22341;0;16269;12344;0;*
51;Birmingham-Hoover, AL;AL;56785;57386;0;60937;0;0;54690;51625;52068;51292;*
511210;Birmingham-Hoover, AL;AL;56192;0;0;0;61872;0;0;61775;57309;58792;*
518;Birmingham-Hoover, AL;AL;0;0;0;0;56387;58511;55483;50397;40844;0;49246
519130;Birmingham-Hoover, AL;AL;53069;44459;0;56151;*;*;*;*;*;*;*
52;Birmingham-Hoover, AL;AL;70909;70035;71802;71415;64577;60830;56879;52917;49861;46141;43629
522320;Birmingham-Hoover, AL;AL;0;0;0;0;37443;42340;0;0;0;0;*
