NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
10,AL,240158,241927,249402,246580,241322,240571,235184,228633,230667,230621,232845
11,AL,1409,1404,1465,1491,1543,1614,1621,1582,1654,1704,1777
323115,AL,22,21,21,17,15,11,15,0,0,0,*
33411,AL,8,12,11,13,19,21,20,18,21,21,21
334611,AL,4,7,6,5,6,6,7,0,0,11,*
423430,AL,45,49,57,61,64,74,77,90,109,115,118
425110,AL,42,44,46,48,48,46,50,49,61,70,83
443120,AL,132,136,176,186,214,263,268,271,285,279,319
454111,AL,76,65,63,56,49,45,40,0,40,0,*
51,AL,1614,1614,1721,1679,1910,1914,1902,1837,1869,1842,1839
511210,AL,28,25,23,25,27,27,27,26,25,31,35
518,AL,158,118,129,132,186,192,180,170,185,189,191
519130,AL,57,52,51,40,*,*,*,*,*,*,*
52,AL,7420,7488,7597,7505,7119,6972,6716,6364,6273,6240,6470
522320,AL,52,52,55,59,55,50,44,41,36,31,32
54151,AL,2051,1968,1920,1749,1549,1519,1429,1352,1450,1465,1398
611420,AL,28,30,32,27,27,29,33,32,35,35,34
811212,AL,92,93,104,110,115,121,110,108,113,119,112
811213,AL,48,44,37,42,39,39,36,33,37,39,43
10,AK,44530,44371,44641,43860,43393,42770,41866,40748,39799,40373,39507
11,AK,176,164,143,138,140,143,139,126,128,0,149
323115,AK,3,3,3,3,2,2,2,0,0,0,*
33411,AK,1,1,1,*,*,*,*,0,*,*,*
423430,AK,7,7,7,6,6,6,6,8,7,6,5
425110,AK,5,6,6,5,6,5,9,12,0,21,23
443120,AK,32,30,28,29,29,32,34,34,36,34,37
454111,AK,3,4,2,2,3,3,3,0,0,0,*
51,AK,385,397,386,379,358,351,369,367,367,379,370
511210,AK,4,6,6,6,8,7,9,8,5,0,*
518,AK,24,28,24,24,31,28,30,31,31,28,33
519130,AK,14,10,6,3,*,*,*,*,*,*,*
52,AK,800,818,816,810,793,776,747,764,734,720,710
522320,AK,4,5,6,7,8,8,6,0,0,0,*
54151,AK,237,232,214,196,173,166,151,141,127,125,114
611420,AK,4,4,4,6,6,8,6,0,4,5,*
811212,AK,14,15,17,19,19,20,16,16,16,15,16
811213,AK,4,5,5,6,4,5,5,5,4,3,*
10,AZ,292266,300045,325469,320907,302214,277365,258801,253689,243633,239370,235088
11,AZ,1067,1077,1121,1136,1128,1124,1135,1154,1151,1156,1208
323115,AZ,32,30,29,20,14,11,7,8,8,12,13
33411,AZ,26,28,33,34,33,33,32,29,31,34,37
334611,AZ,13,12,16,15,12,10,14,17,19,28,24
423430,AZ,269,290,374,413,428,460,544,624,654,697,720
425110,AZ,103,112,133,139,140,137,158,181,193,217,199
443120,AZ,262,282,338,359,343,320,325,348,350,373,404
454111,AZ,267,245,244,220,171,141,127,109,94,80,61
51,AZ,2213,2234,2555,2586,2431,2274,2342,2367,2419,2354,2160
511210,AZ,170,143,145,152,144,132,142,146,152,179,211
518,AZ,261,269,335,341,545,524,591,664,698,669,476
519130,AZ,119,116,124,104,*,*,*,*,*,*,*
52,AZ,8491,8705,9680,9707,8801,7875,7635,7313,6699,6423,6509
522320,AZ,131,129,134,132,124,109,116,123,113,80,92
54151,AZ,3461,3188,3501,3219,2749,2350,2195,2171,2101,2176,2138
611420,AZ,73,75,83,86,82,73,81,79,77,83,69
811212,AZ,141,147,165,171,154,136,139,136,117,113,110
811213,AZ,42,44,43,51,49,47,50,52,52,48,43
10,AR,174766,175866,176037,170431,166639,159455,155352,153540,151641,149871,148242
11,AR,1949,1938,1951,1960,1996,2022,2025,2063,2086,2070,2057
323115,AR,8,7,8,8,8,11,12,0,0,0,*
33411,AR,3,4,4,4,4,3,2,0,0,0,*
334611,AR,1,1,1,0,1,1,1,0,0,0,*
423430,AR,40,44,39,32,30,32,37,35,37,33,29
425110,AR,21,22,27,23,20,22,23,34,32,32,32
443120,AR,101,103,107,102,97,107,117,0,144,151,*
454111,AR,104,109,64,45,35,33,29,0,0,0,*
51,AR,1198,1222,1205,1278,1289,1295,1291,1271,1290,1309,1259
511210,AR,28,35,28,26,29,31,34,34,36,36,28
518,AR,154,116,101,91,151,154,146,142,146,148,129
519130,AR,47,49,36,29,*,*,*,*,*,*,*
52,AR,4678,4812,4946,4861,4755,4592,4414,4298,4145,3981,3923
522320,AR,34,33,34,35,33,30,26,21,23,26,25
54151,AR,1048,1009,987,878,819,761,702,694,668,649,581
611420,AR,15,14,17,17,19,20,19,18,17,14,16
811212,AR,75,70,67,66,63,59,59,52,53,53,51
811213,AR,23,21,21,24,25,23,22,25,26,23,21
10,CA,2701091,2707597,2682181,2615795,2561111,2474532,2418239,2349364,2255087,2162114,2105666
11,CA,17021,17354,17680,18093,18785,19165,20165,21103,21927,22598,23650
323115,CA,246,251,241,225,221,205,203,181,165,151,151
33411,CA,395,410,418,451,467,498,580,638,708,750,790
334611,CA,70,77,84,96,104,100,113,126,146,165,185
423430,CA,1375,1411,1467,1570,1666,1754,1989,2168,2339,2523,2700
425110,CA,684,790,916,1029,1141,1232,1425,1531,1529,1418,1322
443120,CA,1429,1554,1903,2009,2164,2197,2336,2586,2984,3298,3622
454111,CA,1217,1158,1059,968,955,839,743,626,622,640,543
51,CA,18947,19431,19337,19586,20239,19387,20320,21329,22446,22748,22875
511210,CA,1000,1007,1032,1077,1086,1120,1208,1331,1424,1528,1558
518,CA,1074,1067,1064,1025,2486,2368,2592,3000,3463,4022,4073
